Timestamp, Position (X, Y, Z), Rotation (X, Y, Z, W)
0, 0, 3.442, 0, 0, 0, 0, 1
0.02, 0, 3.442, 0.09999999, 0, 0, 0, 1
0.0627219, 0, 3.442, 0.2, 0, 0, 0, 1
0.0844786, 0, 3.442, 0.4136095, 0, 0, 0, 1
0.0988251, 0, 3.442, 0.522393, 0, 0, 0, 1
0.1059777, 0, 3.442, 0.5941255, 0, 0, 0, 1
0.1141906, 0, 3.442, 0.6298885, 0, 0, 0, 1
0.1228737, 0, 3.442, 0.670953, 0, 0, 0, 1
0.1305853, 0, 3.442, 0.7143685, 0, 0, 0, 1
0.1386575, 0, 3.442, 0.7529265, 0, 0, 0, 1
0.146267, 0, 3.442, 0.7932875, 0, 0, 0, 1
0.152867, 0, 3.442, 0.831335, 0, 0, 0, 1
0.1767479, 0, 3.442, 0.864335, 0, 0, 0, 1
0.188094, 0, 3.442, 0.9837395, 0, 0, 0, 1
0.1981252, 0, 3.442, 1.04047, 0, 0, 0, 1
0.2145949, 0, 3.442, 1.090626, 0, 0, 0, 1
0.230511, 0, 3.442, 1.172974, 0, 0, 0, 1
0.238645, 0, 3.442, 1.252555, 0, 0, 0, 1
0.2458259, 0, 3.442, 1.293225, 0, 0, 0, 1
0.2638809, 0, 3.442, 1.32913, 0, 0, 0, 1
0.2715486, 0, 3.442, 1.419405, 0, 0, 0, 1
0.2796844, 0, 3.442, 1.457743, 0, 0, 0, 1
0.2868079, 0, 3.442, 1.498422, 0, 0, 0, 1
0.2945074, 0, 3.442, 1.53404, 0, 0, 0, 1
0.3038336, 0, 3.442, 1.572537, 0, 0, 0, 1
0.3235192, 0, 3.442, 1.619168, 0, 0, 0, 1
0.3348709, 0, 3.442, 1.717596, 0, 0, 0, 1
0.3424235, 0, 3.442, 1.774355, 0, 0, 0, 1
0.350635, 0, 3.442, 1.812118, 0, 0, 0, 1
0.3576656, 0, 3.442, 1.853175, 0, 0, 0, 1
0.3654941, 0, 3.442, 1.888328, 0, 0, 0, 1
0.3724355, 0, 3.442, 1.927471, 0, 0, 0, 1
0.3793078, 0, 3.442, 1.962178, 0, 0, 0, 1
0.386185, 0, 3.442, 1.996539, 0, 0, 0, 1
0.3933566, 0, 3.442, 2.030925, 0, 0, 0, 1
0.4005506, 0, 3.442, 2.066783, 0, 0, 0, 1
0.4073971, 0, 3.442, 2.102753, 0, 0, 0, 1
0.4147896, 0, 3.442, 2.136986, 0, 0, 0, 1
0.4242417, 0, 3.442, 2.173948, 0, 0, 0, 1
0.431674, 0, 3.442, 2.221209, 0, 0, 0, 1
0.4384948, 0, 3.442, 2.25837, 0, 0, 0, 1
0.4461155, 0, 3.442, 2.292474, 0, 0, 0, 1
0.4539403, 0, 3.442, 2.330578, 0, 0, 0, 1
0.4760195, 0, 3.442, 2.369702, 0, 0, 0, 1
0.4877926, 0, 3.442, 2.480098, 0, 0, 0, 1
0.4963381, 0, 3.442, 2.538963, 0, 0, 0, 1
0.5038476, 0, 3.442, 2.581691, 0, 0, 0, 1
0.5107601, 0, 3.442, 2.619238, 0, 0, 0, 1
0.5176177, 0, 3.442, 2.653801, 0, 0, 0, 1
0.5238283, 0, 3.442, 2.688089, 0, 0, 0, 1
0.5313336, 0, 3.442, 2.719142, 0, 0, 0, 1
0.5382232, 0, 3.442, 2.756669, 0, 0, 0, 1
